Municipio,população
260005 Abreu e Lima,100699
260010 Afogados da Ingazeira,37545
260020 Afrânio,19978
260030 Agrestina,25240
260040 Água Preta,37385
260050 Águas Belas,43921
260060 Alagoinha,14804
260070 Aliança,38407
260080 Altinho,22998
260090 Amaraji,22908
260100 Angelim,11300
260105 Araçoiaba,20935
260110 Araripina,85301
260120 Arcoverde,75296
260130 Barra de Guabiraba,14632
260140 Barreiros,42866
260150 Belém de Maria,12168
260160 Belém do São Francisco,20734
260170 Belo Jardim,76928
260180 Betânia,12817
260190 Bezerros,60961
260200 Bodocó,38605
260210 Bom Conselho,48973
260220 Bom Jardim,40037
260230 Bonito,38099
260240 Brejão,8975
260250 Brejinho,7494
260260 Brejo da Madre de Deus,51696
260270 Buenos Aires,13225
260280 Buíque,59449
260290 Cabo de Santo Agostinho,210798
260300 Cabrobó,34775
260310 Cachoeirinha,20620
260320 Caetés,29067
260330 Calçado,10983
260340 Calumbi,5748
260345 Camaragibe,159946
260350 Camocim de São Félix,19034
260360 Camutanga,8590
260370 Canhotinho,24744
260380 Capoeiras,20048
260390 Carnaíba,19664
260392 Carnaubeira da Penha,13117
260400 Carpina,85135
260410 Caruaru,369342
260415 Casinhas,14391
260420 Catende,43778
260430 Cedro,11970
260440 Chã de Alegria,13644
260450 Chã Grande,21929
260460 Condado,26752
260470 Correntes,18327
260480 Cortês,12544
260490 Cumaru,9494
260500 Cupira,24236
260510 Custódia,37633
260515 Dormentes,19243
260520 Escada,69699
260530 Exu,31721
260540 Feira Nova,22363
260545 Fernando de Noronha,3140
260550 Ferreiros,12211
260560 Flores,22607
260570 Floresta,33487
260580 Frei Miguelinho,15632
260590 Gameleira,31576
260600 Garanhuns,141347
260610 Glória do Goitá,30847
260620 Goiana,80349
260630 Granito,7583
260640 Gravatá,85315
260650 Iati,19284
260660 Ibimirim,29585
260670 Ibirajuba,7773
260680 Igarassu,119691
260690 Iguaraci,12264
260700 Inajá,24032
260710 Ingazeira,4520
260720 Ipojuca,99106
260730 Ipubi,31515
260740 Itacuruba,5013
260750 Itaíba,26258
260760 Ilha de Itamaracá,27074
260765 Itambé,36499
260770 Itapetim,13490
260775 Itapissuma,27145
260780 Itaquitinga,17059
260790 Jaboatão dos Guararapes,711329
260795 Jaqueira,11628
260800 Jataúba,17300
260805 Jatobá,14902
260810 João Alfredo,33572
260820 Joaquim Nabuco,15995
260825 Jucati,11545
260830 Jupi,15006
260840 Jurema,15485
260850 Lagoa de Itaenga,21491
260845 Lagoa do Carro,18432
260860 Lagoa do Ouro,13301
260870 Lagoa dos Gatos,16344
260875 Lagoa Grande,26093
260880 Lajedo,40884
260890 Limoeiro,56145
260900 Macaparana,25559
260910 Machados,16551
260915 Manari,22112
260920 Maraial,11099
260930 Mirandiba,15548
261430 Moreilândia,11261
260940 Moreno,63796
260950 Nazaré da Mata,32673
260960 Olinda,393733
260970 Orobó,23985
260980 Orocó,15305
260990 Ouricuri,70467
261000 Palmares,63744
261010 Palmeirina,7511
261020 Panelas,26439
261030 Paranatama,11608
261040 Parnamirim,22199
261050 Passira,28863
261060 Paudalho,57349
261070 Paulista,336917
261080 Pedra,22712
261090 Pesqueira,68064
261100 Petrolândia,37240
261110 Petrolina,359366
261120 Poção,11322
261130 Pombos,27207
261140 Primavera,15231
261150 Quipapá,26309
261153 Quixaba,6801
261160 Recife,1661019
261170 Riacho das Almas,20745
261180 Ribeirão,47813
261190 Rio Formoso,23716
261200 Sairé,9598
261210 Salgadinho,11217
261220 Salgueiro,61564
261230 Saloá,15881
261240 Sanharó,27306
261245 Santa Cruz,15717
261247 Santa Cruz da Baixa Verde,12708
261250 Santa Cruz do Capibaribe,111810
261255 Santa Filomena,14645
261260 Santa Maria da Boa Vista,42269
261270 Santa Maria do Cambucá,14303
261280 Santa Terezinha,11911
261290 São Benedito do Sul,16241
261300 São Bento do Una,60567
261310 São Caitano,37491
261320 São João,23002
261330 São Joaquim do Monte,21442
261340 São José da Coroa Grande,21866
261350 São José do Belmonte,34079
261360 São José do Egito,34211
261370 São Lourenço da Mata,114905
261380 São Vicente Ferrer,18149
261390 Serra Talhada,87470
261400 Serrita,19226
261410 Sertânia,36191
261420 Sirinhaém,46847
261440 Solidão,6033
261450 Surubim,66193
261460 Tabira,28858
261470 Tacaimbó,12838
261480 Tacaratu,26448
261485 Tamandaré,23851
261500 Taquaritinga do Norte,29470
261510 Terezinha,7229
261520 Terra Nova,10311
261530 Timbaúba,52585
261540 Toritama,47083
261550 Tracunhaém,13862
261560 Trindade,31101
261570 Triunfo,15234
261580 Tupanatinga,27795
261590 Tuparetama,8265
261600 Venturosa,18834
261610 Verdejante,9572
261618 Vertente do Lério,7529
261620 Vertentes,21170
261630 Vicência,32899
261640 Vitória de Santo Antão,140388
261650 Xexéu,14791